DCCODE,OrderDate,DeliveryDate,,StoreCode,StoreName,STO,STOLine,Article,ArticleName,CLD,CLDEA,IN,INEA,EA,,,EAN,Route,Stop,Priority,StorageCondition,Wave
9899,20220328,20220329,1,2519,MY STORE 001,29298960,87,207387,Article Description,1,8,2,4,0,0,0,9.52564E+11,R1,1001,P1,PMC,20220414
9899,20220328,20220329,1,2519,MY STORE 001,29298960,88,207388,Article Description,1,8,2,4,0,0,0,9.52564E+11,R1,1001,P1,PFT,20220414
9899,20220328,20220329,1,2519,MY STORE 001,29298960,89,207389,Article Description,1,8,2,4,0,0,0,9.52564E+11,R1,1001,P1,PMC,20220414
9899,20220328,20220329,1,2519,MY STORE 001,29298960,90,207390,Article Description,1,8,2,4,0,0,0,9.52564E+11,R1,1001,P1,PFT,20220414
9899,20220328,20220329,1,2519,MY STORE 001,29298960,91,207391,Article Description,1,8,2,4,0,0,0,9.52564E+11,R1,1001,P1,PMC,20220414
9899,20220328,20220329,1,2519,MY STORE 001,29298960,92,207392,Article Description,1,8,2,4,0,0,0,9.52564E+11,R1,1001,P1,PFT,20220414
9899,20220328,20220329,1,2519,MY STORE 001,29298960,93,207393,Article Description,1,8,2,4,0,0,0,9.52564E+11,R1,1001,P1,PMC,20220414
9899,20220328,20220329,1,2519,MY STORE 001,29298960,94,207394,Article Description,1,8,2,4,0,0,0,9.52564E+11,R1,1001,P1,PFT,20220414
9899,20220328,20220329,1,2519,MY STORE 001,29298960,95,207395,Article Description,1,8,2,4,0,0,0,9.52564E+11,R1,1001,P1,PMC,20220414
9899,20220328,20220329,1,2519,MY STORE 001,29298960,96,207396,Article Description,1,8,2,4,0,0,0,9.52564E+11,R1,1001,P1,PFT,20220414
9899,20220328,20220329,1,2519,MY STORE 001,29298960,97,207397,Article Description,1,8,2,4,0,0,0,9.52564E+11,R1,1001,P1,PMC,20220414
9899,20220328,20220329,1,2519,MY STORE 001,29298960,98,207398,Article Description,1,8,2,4,0,0,0,9.52564E+11,R1,1001,P1,PFT,20220414
9899,20220328,20220329,1,2519,MY STORE 001,29298960,99,207399,Article Description,1,8,2,4,0,0,0,9.52564E+11,R1,1001,P1,PMC,20220414
9899,20220328,20220329,1,2519,MY STORE 001,29298960,100,207400,Article Description,1,8,2,4,0,0,0,9.52564E+11,R1,1001,P1,PFT,20220414
9899,20220328,20220329,1,2519,MY STORE 001,29298960,101,207401,Article Description,1,8,2,4,0,0,0,9.52564E+11,R1,1001,P1,PMC,20220414
9899,20220328,20220329,1,2519,MY STORE 001,29298960,102,207402,Article Description,1,8,2,4,0,0,0,9.52564E+11,R1,1001,P1,PFT,20220414
9899,20220328,20220329,1,2519,MY STORE 001,29298960,103,207403,Article Description,1,8,2,4,0,0,0,9.52564E+11,R1,1001,P1,PMC,20220414
9899,20220328,20220329,1,2519,MY STORE 001,29298960,104,207404,Article Description,1,8,2,4,0,0,0,9.52564E+11,R1,1001,P1,PFT,20220414
9899,20220328,20220329,1,2519,MY STORE 001,29298960,105,207405,Article Description,1,8,2,4,0,0,0,9.52564E+11,R1,1001,P1,PMC,20220414
9899,20220328,20220329,1,2519,MY STORE 001,29298960,106,207406,Article Description,1,8,2,4,0,0,0,9.52564E+11,R1,1001,P1,PFT,20220414
9899,20220328,20220329,1,2519,MY STORE 001,29298960,107,207407,Article Description,1,8,2,4,0,0,0,9.52564E+11,R1,1001,P1,PMC,20220414
9899,20220328,20220329,1,2519,MY STORE 001,29298960,108,207408,Article Description,1,8,2,4,0,0,0,9.52564E+11,R1,1001,P1,PFT,20220414
9899,20220328,20220329,1,2519,MY STORE 001,29298960,109,207409,Article Description,1,8,2,4,0,0,0,9.52564E+11,R1,1001,P1,PMC,20220414
9899,20220328,20220329,1,2519,MY STORE 001,29298960,110,207410,Article Description,1,8,2,4,0,0,0,9.52564E+11,R1,1001,P1,PFT,20220414
9899,20220328,20220329,1,2519,MY STORE 001,29298960,111,207411,Article Description,1,8,2,4,0,0,0,9.52564E+11,R1,1001,P1,PMC,20220414
9899,20220328,20220329,1,2519,MY STORE 001,29298960,112,207412,Article Description,1,8,2,4,0,0,0,9.52564E+11,R1,1001,P1,PFT,20220414
9899,20220328,20220329,1,2519,MY STORE 001,29298960,113,207413,Article Description,1,8,2,4,0,0,0,9.52564E+11,R1,1001,P1,PMC,20220414
9899,20220328,20220329,1,2519,MY STORE 001,29298960,114,207414,Article Description,1,8,2,4,0,0,0,9.52564E+11,R1,1001,P1,PFT,20220414
9899,20220328,20220329,1,2519,MY STORE 001,29298960,115,207415,Article Description,1,8,2,4,0,0,0,9.52564E+11,R1,1001,P1,PMC,20220414
9899,20220328,20220329,1,2519,MY STORE 001,29298960,116,207416,Article Description,1,8,2,4,0,0,0,9.52564E+11,R1,1001,P1,PFT,20220414
9899,20220328,20220329,1,2519,MY STORE 001,29298960,117,207417,Article Description,1,8,2,4,0,0,0,9.52564E+11,R1,1001,P1,PMC,20220414
9899,20220328,20220329,1,2519,MY STORE 001,29298960,118,207418,Article Description,1,8,2,4,0,0,0,9.52564E+11,R1,1001,P1,PFT,20220414
9899,20220328,20220329,1,2519,MY STORE 001,29298960,119,207419,Article Description,1,8,2,4,0,0,0,9.52564E+11,R1,1001,P1,PMC,20220414
9899,20220328,20220329,1,2519,MY STORE 001,29298960,120,207420,Article Description,1,8,2,4,0,0,0,9.52564E+11,R1,1001,P1,PFT,20220414
9899,20220328,20220329,1,2519,MY STORE 001,29298960,121,207421,Article Description,1,8,2,4,0,0,0,9.52564E+11,R1,1001,P1,PMC,20220414
9899,20220328,20220329,1,2519,MY STORE 001,29298960,122,207422,Article Description,1,8,2,4,0,0,0,9.52564E+11,R1,1001,P1,PFT,20220414
9899,20220328,20220329,1,2519,MY STORE 001,29298960,123,207423,Article Description,1,8,2,4,0,0,0,9.52564E+11,R1,1001,P1,PMC,20220414
9899,20220328,20220329,1,2519,MY STORE 001,29298960,124,207424,Article Description,1,8,2,4,0,0,0,9.52564E+11,R1,1001,P1,PFT,20220414
9899,20220328,20220329,1,2519,MY STORE 001,29298960,125,207425,Article Description,1,8,2,4,0,0,0,9.52564E+11,R1,1001,P1,PMC,20220414
9899,20220328,20220329,1,2519,MY STORE 001,29298960,126,207426,Article Description,1,8,2,4,0,0,0,9.52564E+11,R1,1001,P1,PFT,20220414
9899,20220328,20220329,1,2519,MY STORE 001,29298960,127,207427,Article Description,1,8,2,4,0,0,0,9.52564E+11,R1,1001,P1,PMC,20220414
9899,20220328,20220329,1,2519,MY STORE 001,29298960,128,207428,Article Description,1,8,2,4,0,0,0,9.52564E+11,R1,1001,P1,PFT,20220414
9899,20220328,20220329,1,2519,MY STORE 001,29298960,129,207429,Article Description,1,8,2,4,0,0,0,9.52564E+11,R1,1001,P1,PMC,20220414
9899,20220328,20220329,1,2519,MY STORE 001,29298960,130,207430,Article Description,1,8,2,4,0,0,0,9.52564E+11,R1,1001,P1,PFT,20220414
9899,20220328,20220329,1,2519,MY STORE 001,29298960,131,207431,Article Description,1,8,2,4,0,0,0,9.52564E+11,R1,1001,P1,PMC,20220414
9899,20220328,20220329,1,2519,MY STORE 001,29298960,132,207432,Article Description,1,8,2,4,0,0,0,9.52564E+11,R1,1001,P1,PFT,20220414
9899,20220328,20220329,1,2519,MY STORE 001,29298960,133,207433,Article Description,1,8,2,4,0,0,0,9.52564E+11,R1,1001,P1,PMC,20220414
9899,20220328,20220329,1,2519,MY STORE 001,29298960,134,207434,Article Description,1,8,2,4,0,0,0,9.52564E+11,R1,1001,P1,PFT,20220414
9899,20220328,20220329,1,2519,MY STORE 001,29298960,135,207435,Article Description,1,8,2,4,0,0,0,9.52564E+11,R1,1001,P1,PMC,20220414
9899,20220328,20220329,1,2519,MY STORE 001,29298960,136,207436,Article Description,1,8,2,4,0,0,0,9.52564E+11,R1,1001,P1,PFT,20220414
9899,20220328,20220329,1,2519,MY STORE 001,29298960,137,207437,Article Description,1,8,2,4,0,0,0,9.52564E+11,R1,1001,P1,PMC,20220414
9899,20220328,20220329,1,2519,MY STORE 001,29298960,138,207438,Article Description,1,8,2,4,0,0,0,9.52564E+11,R1,1001,P1,PFT,20220414
9899,20220328,20220329,1,2519,MY STORE 001,29298960,139,207439,Article Description,1,8,2,4,0,0,0,9.52564E+11,R1,1001,P1,PMC,20220414
9899,20220328,20220329,1,2519,MY STORE 001,29298960,140,207440,Article Description,1,8,2,4,0,0,0,9.52564E+11,R1,1001,P1,PFT,20220414
9899,20220328,20220329,1,2519,MY STORE 001,29298960,141,207441,Article Description,1,8,2,4,0,0,0,9.52564E+11,R1,1001,P1,PMC,20220414
9899,20220328,20220329,1,2519,MY STORE 001,29298960,142,207442,Article Description,1,8,2,4,0,0,0,9.52564E+11,R1,1001,P1,PFT,20220414
9899,20220328,20220329,1,2519,MY STORE 001,29298960,143,207443,Article Description,1,8,2,4,0,0,0,9.52564E+11,R1,1001,P1,PMC,20220414
9899,20220328,20220329,1,2519,MY STORE 001,29298960,144,207444,Article Description,1,8,2,4,0,0,0,9.52564E+11,R1,1001,P1,PFT,20220414
9899,20220328,20220329,1,2519,MY STORE 001,29298960,145,207445,Article Description,1,8,2,4,0,0,0,9.52564E+11,R1,1001,P1,PMC,20220414
9899,20220328,20220329,1,2519,MY STORE 001,29298960,146,207446,Article Description,1,8,2,4,0,0,0,9.52564E+11,R1,1001,P1,PFT,20220414
9899,20220328,20220329,1,2519,MY STORE 001,29298960,147,207447,Article Description,1,8,2,4,0,0,0,9.52564E+11,R1,1001,P1,PMC,20220414
9899,20220328,20220329,1,2519,MY STORE 001,29298960,148,207448,Article Description,1,8,2,4,0,0,0,9.52564E+11,R1,1001,P1,PFT,20220414
9899,20220328,20220329,1,2519,MY STORE 001,29298960,149,207449,Article Description,1,8,2,4,0,0,0,9.52564E+11,R1,1001,P1,PMC,20220414
9899,20220328,20220329,1,2519,MY STORE 001,29298960,150,207450,Article Description,1,8,2,4,0,0,0,9.52564E+11,R1,1001,P1,PFT,20220414
9899,20220328,20220329,1,2519,MY STORE 001,29298960,151,207451,Article Description,1,8,2,4,0,0,0,9.52564E+11,R1,1001,P1,PMC,20220414
9899,20220328,20220329,1,2519,MY STORE 001,29298960,152,207452,Article Description,1,8,2,4,0,0,0,9.52564E+11,R1,1001,P1,PFT,20220414
9899,20220328,20220329,1,2519,MY STORE 001,29298960,153,207453,Article Description,1,8,2,4,0,0,0,9.52564E+11,R1,1001,P1,PMC,20220414
9899,20220328,20220329,1,2519,MY STORE 001,29298960,154,207454,Article Description,1,8,2,4,0,0,0,9.52564E+11,R1,1001,P1,PFT,20220414
9899,20220328,20220329,1,2519,MY STORE 001,29298960,155,207455,Article Description,1,8,2,4,0,0,0,9.52564E+11,R1,1001,P1,PMC,20220414
9899,20220328,20220329,1,2519,MY STORE 001,29298960,156,207456,Article Description,1,8,2,4,0,0,0,9.52564E+11,R1,1001,P1,PFT,20220414
9899,20220328,20220329,1,2519,MY STORE 001,29298960,157,207457,Article Description,1,8,2,4,0,0,0,9.52564E+11,R1,1001,P1,PMC,20220414
9899,20220328,20220329,1,2519,MY STORE 001,29298960,158,207458,Article Description,1,8,2,4,0,0,0,9.52564E+11,R1,1001,P1,PFT,20220414
9899,20220328,20220329,1,2519,MY STORE 001,29298960,159,207459,Article Description,1,8,2,4,0,0,0,9.52564E+11,R1,1001,P1,PMC,20220414
9899,20220328,20220329,1,2519,MY STORE 001,29298960,160,207460,Article Description,1,8,2,4,0,0,0,9.52564E+11,R1,1001,P1,PFT,20220414
9899,20220328,20220329,1,2519,MY STORE 001,29298960,161,207461,Article Description,1,8,2,4,0,0,0,9.52564E+11,R1,1001,P1,PMC,20220414
9899,20220328,20220329,1,2519,MY STORE 001,29298960,162,207462,Article Description,1,8,2,4,0,0,0,9.52564E+11,R1,1001,P1,PFT,20220414
9899,20220328,20220329,1,2519,MY STORE 001,29298960,163,207463,Article Description,1,8,2,4,0,0,0,9.52564E+11,R1,1001,P1,PMC,20220414
9899,20220328,20220329,1,2519,MY STORE 001,29298960,164,207464,Article Description,1,8,2,4,0,0,0,9.52564E+11,R1,1001,P1,PFT,20220414
9899,20220328,20220329,1,2519,MY STORE 001,29298960,165,207465,Article Description,1,8,2,4,0,0,0,9.52564E+11,R1,1001,P1,PMC,20220414
9899,20220328,20220329,1,2519,MY STORE 001,29298960,166,207466,Article Description,1,8,2,4,0,0,0,9.52564E+11,R1,1001,P1,PFT,20220414
9899,20220328,20220329,1,2519,MY STORE 001,29298960,167,207467,Article Description,1,8,2,4,0,0,0,9.52564E+11,R1,1001,P1,PMC,20220414
9899,20220328,20220329,1,2519,MY STORE 001,29298960,168,207468,Article Description,1,8,2,4,0,0,0,9.52564E+11,R1,1001,P1,PFT,20220414
9899,20220328,20220329,1,2519,MY STORE 001,29298960,169,207469,Article Description,1,8,2,4,0,0,0,9.52564E+11,R1,1001,P1,PMC,20220414
9899,20220328,20220329,1,2519,MY STORE 001,29298960,170,207470,Article Description,1,8,2,4,0,0,0,9.52564E+11,R1,1001,P1,PFT,20220414
9899,20220328,20220329,1,2519,MY STORE 001,29298960,171,207471,Article Description,1,8,2,4,0,0,0,9.52564E+11,R1,1001,P1,PMC,20220414
9899,20220328,20220329,1,2519,MY STORE 001,29298960,172,207472,Article Description,1,8,2,4,0,0,0,9.52564E+11,R1,1001,P1,PFT,20220414
9899,20220328,20220329,1,2519,MY STORE 001,29298960,173,207473,Article Description,1,8,2,4,0,0,0,9.52564E+11,R1,1001,P1,PMC,20220414
9899,20220328,20220329,1,2519,MY STORE 001,29298960,174,207474,Article Description,1,8,2,4,0,0,0,9.52564E+11,R1,1001,P1,PFT,20220414
9899,20220328,20220329,1,2519,MY STORE 001,29298960,175,207475,Article Description,1,8,2,4,0,0,0,9.52564E+11,R1,1001,P1,PMC,20220414
9899,20220328,20220329,1,2519,MY STORE 001,29298960,176,207476,Article Description,1,8,2,4,0,0,0,9.52564E+11,R1,1001,P1,PFT,20220414
9899,20220328,20220329,1,2519,MY STORE 001,29298960,177,207477,Article Description,1,8,2,4,0,0,0,9.52564E+11,R1,1001,P1,PMC,20220414
9899,20220328,20220329,1,2519,MY STORE 001,29298960,178,207478,Article Description,1,8,2,4,0,0,0,9.52564E+11,R1,1001,P1,PFT,20220414
9899,20220328,20220329,1,2519,MY STORE 001,29298960,179,207479,Article Description,1,8,2,4,0,0,0,9.52564E+11,R1,1001,P1,PMC,20220414
